year,dist,area_km,HISTO_1,HISTO_2,HISTO_3,HISTO_4,HISTO_5
2005,0-10,313.84,1779,11881,67233,2160,4152
2005,10-20,941.51,3496,15772,134062,52845,55445
2005,20-30,1569.18,1665,12074,77079,260371,84869
2005,30-40,2196.84,2139,7231,40913,488094,72076
2005,40-50,2523.16,1343,5498,28460,620791,44857
2005,50-60,2574.56,1967,1119,27391,664474,20340
2005,60-70,2449.42,2318,4348,31822,622013,19954
2005,70-80,1785.69,215,4920,13417,468281,9283
2005,80-90,1467.42,779,8555,8343,374298,15721
2005,90-100,664.3,2301,8631,3401,147122,22852
2005,100-110,234.61,1416,1480,647,49688,11852
